*;0;#group;index;offset;type;nss;bw;gi;airtime
*;0;#sta;action;macaddr;overhead_mcs;overhead_legacy;supported
phy1;3224c8b3fad;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224c982eed;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224c9a163a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224ca7052d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224ca8f348;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224cb7a74c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224cb9f624;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224cc87a54;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224cca6b78;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224cd7a59a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224cd99566;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224ce77e0c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224ce93d9c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224cf65d9a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224cf8261a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d0577ac;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d0764af;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d14a097;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d1687d9;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d276724;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d2a059d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d340b02;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3224d35d61e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d446d4b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d5335f7;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3224d552c1f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d628a2b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d72916f;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3224d746345;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d830605;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d85127c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224d922a69;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224d94294e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224da10fb1;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224da30248;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224db065b2;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224db28509;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224dbfe4e8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224dc1d4a6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224dceb22a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224dd0aa2d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224dde3012;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224defa884;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3224df180e0;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224dff8a3e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3224e01a2bc;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3224e0cac6f;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32257b74791;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32257c34d90;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32257c55bcd;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32257d15f44;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32257d3567b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32257e0af7f;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32257e30f16;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32257f2ae7b;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32257f4cda5;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225803a2c6;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225805e9e7;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322581456bb;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32258166795;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258229177;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258244d8e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225833b775;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258355e40;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225842ee23;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225844c77d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225852d57a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225854b1d1;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225862a0c7;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258648ae3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225871f061;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225873d051;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258810e67;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225883e59e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258920d64;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;3225893fe99;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258a2c0fd;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258b38678;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32258b5648f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258c2b23d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258c47f6d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258d233b6;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258d41fd5;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258e19db2;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258e39fef;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32258f138ce;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32258f31b93;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225902cc2d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225904bf76;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225911975c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225913935a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225920df54;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225923b6b1;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322593141af;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;32259391031;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322593ad7b6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225949a691;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322594bb75c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259596f97;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322595b85e6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225968f78c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322596b11bb;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259768844;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32259783544;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259853520;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322598716f0;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259941721;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225995e52f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259a5a8ef;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32259a7d5f9;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259b5ae34;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32259b7ec02;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259c6d8d0;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32259d8a9e2;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32259da984f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259e760c8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32259e9475a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32259f75e69;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32259f93f2c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a066214;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a082d55;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a15cad3;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a17ad36;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a24cce5;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a26afc3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a3514db;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a3714fa;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a485d3b;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225a4ab623;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a55168d;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;3225a586449;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a6611ba;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a684a21;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a76d530;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a78b081;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a85c59d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a87eec8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225a9622ef;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225a9828e4;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225aa6c62e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225aa8b14e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225ab62b09;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225ab7d72c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225ac557d8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225ac719e2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225ad42106;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225ad78072;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225ae58491;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;3225ae775d4;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225af4b099;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225af687ef;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b05b4ed;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b0781a8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b155444;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b1726a6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b24749c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b266232;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b342509;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b35f34d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b439c19;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b455c80;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b54f79b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b570fea;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b64f60b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b674b54;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b681908;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225b761abb;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b7a6f3d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b7c91b2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b8cabbe;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b8ea829;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225b9d4daf;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225b9f4936;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225bac9ad5;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225bae8afd;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225bbb7c71;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225bbd4ccf;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225bcac411;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225bccb56b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225bd99a16;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225bdb89d7;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225be929fe;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225beb1311;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225bf80768;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225bf9d7a7;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c070f53;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c093743;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c1609cb;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c17fdbe;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c255083;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c2729ca;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c36b271;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c48e198;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225c4ac789;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c584994;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c59f2c2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c6720e1;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c6907dc;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c763d10;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c7801d2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c861d02;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c8831da;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225c93c154;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225c95a860;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225ca2c7a9;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225ca4ba93;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225cb17f5f;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225cb35692;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225cc09eb7;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225cc3c767;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225cd11724;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225cd33302;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225ce2c67c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225ce51941;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225cf1ebf8;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225cf3cc1a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d01d281;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d03f2d3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d112e69;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d131f89;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d2006cd;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d21efe6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d2f4a23;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d3124bc;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d3e589b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d40472a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d4cda4b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d4ed58e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d5dda54;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d5ee506;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225d7059d3;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225d8381f6;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225d93880b;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225da30423;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225da3d749;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225db1d80d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225db534ea;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225dc258fb;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225dc5a65b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225dd4477b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225dd7814b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225de5965b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225de796ff;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225df51929;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225df7a611;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225e04d5c2;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225e06b56a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225e1377da;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3225e1610f3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3225e275e3d;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;3225e2960b4;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3226e34418c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3226e42a419;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3226e44bcd1;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3226e52c282;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3226e54d8ac;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3226e5fcf18;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322752da245;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322752fba44;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322753dc56b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322754c6495;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;322754e6615;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322755d25b7;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322755f4f93;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322756d4a0b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322756f30f8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322757bc01d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322757daf05;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322758a699e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322758c5d98;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322759a1086;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322759c08f6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32275abb4a3;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32275ade0ae;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32275bafd5b;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;32275bd1a52;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32275c95c7f;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32275cc8983;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32275da3904;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32275dd33d4;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32275eba7df;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32275ed90b9;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32275fa976d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32275fc86d9;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32276098464;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322760b498c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322761861a8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322761a45e8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32276285677;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322762a6dc9;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32276382c61;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322763a176c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3227646fee6;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3227648cfab;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;322765644df;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;3227658327f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32276657f5e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;322766799ec;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;32276765626;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;32276783c0a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;3227685cfa9;txs;50:eb:71:92:80:33;2;2;0;279;1
