*;0;#group;index;offset;type;nss;bw;gi;airtime
*;0;#sta;action;macaddr;overhead_mcs;overhead_legacy;supported
phy1;7ae24b54923;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae24b71d2b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae24c56019;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae24c79595;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae24d77026;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae24e9269c;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae24ead583;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae24efdbb6;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae24f77325;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae24f9981a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae250c8bf6;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae251c72a0;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;7ae251e4e2b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25292c2c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae252b9c00;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25398590;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae253bc153;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae254c73a8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae254e7076;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae2558c7fa;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae255b2593;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae256a5e63;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae256c3e90;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25779f9b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae2579fb64;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25880f7b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae2589f59e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae2594ec14;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae25966e45;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25a67ae4;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae25a8fb61;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25bae89c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae25bc1997;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25c82421;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae25caab6e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25da4c36;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae25dd00e8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25eb4f9c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae25ed3cf6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae25f8554b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae25fa866d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae26086be1;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae260a5626;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae2614c096;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae2617024d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae26251b06;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae26270a3e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae263138ff;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae263393eb;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae2640f00b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae2642e842;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae264b7eae;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae264ed9e2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae265bab10;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae265dc450;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae361f01ec;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3620dccd;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3631559e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3633ddd1;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3638c535;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae36412974;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3652f5e5;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae3654f398;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3661d8fa;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36641e40;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3670e908;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3673aca5;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;829c43;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae36848728;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36905a22;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3693dffc;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae369cca0d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae369f1696;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36ae5d40;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36b03ed3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36bded63;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36bfe6fd;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36cd40f2;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36cf2791;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36dcfd47;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36df03ff;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36ed6780;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36ef6597;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae36fb95ad;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae36fdb85f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae370aa3d4;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae370ca4e5;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae371cc6bd;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae372dc45f;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae372f9c92;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae373eab41;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37409faf;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae374e2acf;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae375014ae;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae375e2184;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae376f5f42;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae3771c71f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae378329f7;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37851610;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae37918e2e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae379388e7;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae37a0fbaa;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37a2dfd6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae37b32017;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37c57470;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae37c7219e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae37d1507b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37d3ac39;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae37e4256f;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37e6011f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae37f2d065;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae37f507b4;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3803672e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3804f774;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae381246c9;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3814471f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3821776a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae38235073;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3831483e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3833255e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae384161ce;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae38438017;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae3852d2a3;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae3854aab0;stats;50:eb:71:92:80:33;279;3e8;2f2;ad;ad;561b6c;563868
phy1;7ae38638736;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae38656301;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae461a8d3b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4627afc4;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46298900;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46351a09;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46438f11;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae46456877;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46502528;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;0:33;1;1;0;279;1
phy1;7ae465eacfe;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae466062a6;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae466cef86;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae466ed714;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae467b8574;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae467dae32;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae468b925b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae468d970c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46998900;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae469bbabd;stats;50:eb:71:92:80:33;279;3e8;2f2;c0;c0;561e50;563b4c
phy1;7ae46af44bb;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae46b10c4e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46bc28ba;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46be8a2f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46cb9b42;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46cd7951;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46d86ed8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46da5f22;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46e739a6;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46e92cfd;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae46f424db;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae46f64f66;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae47030421;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4704e282;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae471008ee;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4711e560;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae471d93ee;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae471fde75;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae472e1be5;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4731b8be;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae473caa6b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae473e841f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae47431b20;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4746131d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae47503f1d;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae4750e75b;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4754600a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae47628a89;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae47656eaf;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae476709c2;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;7ae4771aaa0;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae477401ae;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4775bfd1;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4777668c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae47797b26;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4ec69f68;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4ed2f870;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4ed4df83;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4ee26706;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4ee43c77;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4ef22337;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4efde863;txs;50:eb:71:92:80:33;3;3;0;279;1
phy1;7ae4f009112;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f026e8f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f04938e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f079820;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f16ca12;txs;50:eb:71:92:80:33;4;4;0;279;1
phy1;7ae4f18f753;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f228e03;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4f23b0de;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f288974;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4f2a433a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f49ad8c;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f4bfec3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f57665e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4f5958bc;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f65e02b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4f6821a0;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f79653a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4f848454;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f86bf83;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4f92b328;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4f94a278;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4fa38b0a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4fa5cc33;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4fb3587d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4fb5629f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4fbf8ea2;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4fc1d03d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4fd14f70;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4fd3786a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4fddc636;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4fdfdf28;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4fecb002;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4fef39be;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae4ffb19c0;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae4ffd4b7e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae5008650b;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae500a83dc;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae501b1b23;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae501cf596;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae502c4da6;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae502e6146;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50397b16;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae503bc862;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae5049b777;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae504bba20;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae505582f8;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae5057e41f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50659e86;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae50679b0f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae5071608f;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae5073ceb2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae508134a4;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae5082f9fb;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;8ea990;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae5090d1bb;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae509ed6f9;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae50a08f92;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50ac4cbc;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae50aebcd0;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50bbb816;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae50be967f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50cdb11c;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae50cfbb8a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50df7d82;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae50e14fad;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae50eb9c56;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60a46eb3;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae60af4bed;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60b1b911;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae60bfeddf;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60c1f314;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae60cc38cb;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60ce9280;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae60deaa3d;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60e08158;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae60ec98f2;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60eee12f;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae60fdeb00;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae60ffdbcf;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae610a0065;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae610c4bb8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae6117e4be;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae6119e0e2;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae6127348e;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae612973b8;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae613695a5;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae6138628a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae6143c309;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae6145b105;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae6153d870;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae6155d505;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae61609409;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae6162c52e;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae616d9974;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae616e700d;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae616ebe6a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae6178a082;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae61790926;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae617f5607;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae61811332;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae618b2e9a;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae618bbb96;txs;50:eb:71:92:80:33;1;1;0;279;1
phy1;7ae61969b9a;txs;50:eb:71:92:80:33;2;2;0;279;1
phy1;7ae619920bd;txs;50:eb:71:92:80:33;1;1;0;279;1
