*;0;#group;index;offset;type;nss;bw;gi;airtime
*;0;#sta;action;macaddr;overhead_mcs;overhead_legacy;supported
phy1;1557d5af6a0e;txs;3e:a7:96:1e:bc:6b;1;1;0;277;1
phy1;1557d5b37e2a;txs;3e:a7:96:1e:bc:6b;1;1;0;277;1
phy1;1557e7edac00;txs;88:a9:b7:ee:ab:61;1;1;0;277;2
phy1;1557eaf05dbb;txs;88:a9:b7:ee:ab:61;1;1;0;277;2
phy1;1557eaf0dcab;txs;88:a9:b7:ee:ab:61;1;1;0;277;2
phy1;1557eaf0fade;txs;88:a9:b7:ee:ab:61;1;1;0;277;2
phy1;1557eaf1187c;txs;88:a9:b7:ee:ab:61;1;1;0;277;2
phy1;1557eaf46346;txs;88:a9:b7:ee:ab:61;1;1;0;277;1
phy1;1557eaf495b1;txs;88:a9:b7:ee:ab:61;1;1;0;277;1
phy1;1557f0691588;txs;88:a9:b7:ee:ab:61;1;1;0;277;1
phy1;1557f09a5071;txs;88:a9:b7:ee:ab:61;1;1;0;238,236;4,1
phy1;1557f32964ab;txs;88:a9:b7:ee:ab:61;1;1;0;236;1
phy1;1557f351f7f1;txs;3e:a7:96:1e:bc:6b;1;1;0;277;1
phy1;1557f37773eb;txs;88:a9:b7:ee:ab:61;1;1;0;236;1
phy1;1557f39c4fd4;txs;88:a9:b7:ee:ab:61;1;1;1;278,276;2,1
phy1;1557f4e39406;txs;88:a9:b7:ee:ab:61;1;1;1;278,276;2,1
phy1;1557f53130ab;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f532fb2d;txs;88:a9:b7:ee:ab:61;1;1;1;237;1
phy1;1557f592bd1f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f598ee06;txs;88:a9:b7:ee:ab:61;1;1;0;277;2
phy1;1557f59c9126;txs;88:a9:b7:ee:ab:61;1;1;1;277;2
phy1;1557f59d41be;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f59e471a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f59e7338;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f5a451d5;txs;88:a9:b7:ee:ab:61;1;1;1;276;1
phy1;1557f5bb42e3;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f5d46be9;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f5f3034c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f5f33e2f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f6138abd;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f68b8bd4;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f704694d;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f732d4e5;txs;88:a9:b7:ee:ab:61;1;1;1;239,236;2,1
phy1;1557f7333ef7;txs;88:a9:b7:ee:ab:61;1;1;1;239,236;2,1
phy1;1557f7c663dd;txs;88:a9:b7:ee:ab:61;1;1;1;279,276;2,1
phy1;1557f7c6eaac;txs;88:a9:b7:ee:ab:61;1;1;1;279,276;2,1
phy1;1557f803df54;txs;88:a9:b7:ee:ab:61;1;1;0;238,236;2,1
phy1;1557f8044102;txs;88:a9:b7:ee:ab:61;1;1;0;236;2
phy1;1557f8045fcf;txs;88:a9:b7:ee:ab:61;1;1;0;236;2
phy1;1557f8048682;txs;88:a9:b7:ee:ab:61;1;1;0;236;2
phy1;1557f807af78;txs;88:a9:b7:ee:ab:61;1;1;1;236;2
phy1;1557f858b69c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557f89aad1d;txs;3e:a7:96:1e:bc:6b;1;1;1;279,276;2,1
phy1;1557f8cdf9c1;txs;3e:a7:96:1e:bc:6b;1;1;1;238;1
phy1;1557f9022ae7;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f94abd51;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f94b1ecf;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f970dc69;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f983e695;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f985fb7f;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f98628de;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f98646a2;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f986647d;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557f9e7717c;txs;3e:a7:96:1e:bc:6b;1;1;1;238;2
phy1;1557fa020a37;txs;3e:a7:96:1e:bc:6b;1;1;1;236;1
phy1;1557fa027940;txs;3e:a7:96:1e:bc:6b;1;1;1;236;1
phy1;1557fa086c54;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fac1cde8;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557fadab54e;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557fb52a4e1;txs;3e:a7:96:1e:bc:6b;1;1;1;238;1
phy1;1557fcbf4fca;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fcd42d2e;txs;3e:a7:96:1e:bc:6b;1;1;1;278;1
phy1;1557fd1c0b86;txs;3e:a7:96:1e:bc:6b;1;1;0;277;1
phy1;1557fd1d7fd3;txs;3e:a7:96:1e:bc:6b;1;1;1;277;1
phy1;1557fd1de338;txs;3e:a7:96:1e:bc:6b;1;1;1;277;1
phy1;1557fd3d131c;txs;3e:a7:96:1e:bc:6b;1;1;0;238;1
phy1;1557fd401b08;txs;3e:a7:96:1e:bc:6b;1;1;0;238,236;2,1
phy1;1557fd4052ac;txs;3e:a7:96:1e:bc:6b;1;1;0;236;2
phy1;1557fd40705b;txs;3e:a7:96:1e:bc:6b;1;1;0;236;2
phy1;1557fd40ec1c;txs;3e:a7:96:1e:bc:6b;1;1;1;238,236;2,1
phy1;1557fd41395c;txs;3e:a7:96:1e:bc:6b;1;1;1;236;2
phy1;1557fd4786e0;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd47bf31;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd47dcfb;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd47fa7a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd48176a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd4b656d;txs;3e:a7:96:1e:bc:6b;1;1;1;276;1
phy1;1557fd4bb387;txs;3e:a7:96:1e:bc:6b;1;1;1;276;1
phy1;1557fd55fac6;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd562d9e;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd564b1a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd58402a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd586c60;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd5889c4;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd60d9ba;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd6109a4;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd612726;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd6547f7;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd657a58;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd65b586;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd65d38a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd65f121;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd660ecd;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd662bec;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd664994;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd73666c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd73a54b;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd73c2b5;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd76885a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd76b46e;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd76d1d9;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd76ef58;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd770cca;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd7cc6bd;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd7cf777;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fd7ecd08;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fdd4dd69;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe00e707;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe0143dc;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe016184;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe017ef9;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe2ca1f7;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe2cf93f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe2f5b0a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe2f873d;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe2fa4c6;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe2fc26f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe30fecd;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557fe6c0a28;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe6c4f16;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe718c34;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe71bbda;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe71d91f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe71f68d;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe7213ed;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe723162;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe724e4c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe726bc1;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe728958;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe72a6c9;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe72c45d;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe72e1cf;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe741559;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe854ce6;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe857e8d;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8a80ff;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8ab31f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8ad0e2;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8aee57;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8b0bbe;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8b2937;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8b4627;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8b6398;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8b810d;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8b9e86;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8bbbfe;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8fa636;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8fd512;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fe8ff298;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fea5e1f1;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fea61223;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fea8c999;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fea8f69c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fea914b1;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557fea93300;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557feb7970a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557feb9f393;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557feba2210;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557feba400e;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557ff20e53a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557ff523036;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1557ffee283f;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1557ffeeb6bf;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155800ae4b1c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155801ca0fc1;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155801cb809b;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155801cbae0b;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155801fe45a8;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558037c0380;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580404dfe4;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580406b372;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580406e1c6;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580406ff2e;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155804176afa;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580417b7ef;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580436e707;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558043b0778;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558043b2d7a;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155805a36256;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558068255ab;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155806867f35;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15580686b3ba;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580686d303;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155806a1146b;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155806a14be9;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155806a2e845;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155806a31433;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155806a33197;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155807fc6eff;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558085b9d99;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558087aed35;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558097d4587;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558099fad1c;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15580ed15d58;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15580ef249fb;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15580fe500ae;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155811fad5a2;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155811fc54e8;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558129362d6;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581377aef2;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558137996b0;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581379c2c1;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;1558138bbd76;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581d267f5f;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581f239df7;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581f244810;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581f30f488;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581f312823;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581f31457c;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15581f32b734;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15582652ecbc;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15582a2256fb;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15582a267b72;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;155831b5ac01;txs;3e:a7:96:1e:bc:6b;1;1;0;276;1
phy1;15584846ecf2;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1558484b5550;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1558485ea7fe;txs;88:a9:b7:ee:ab:61;1;1;1;277;1
phy1;1558487a7535;txs;88:a9:b7:ee:ab:61;1;1;1;238,236;2,1
phy1;15584978bb7b;txs;88:a9:b7:ee:ab:61;1;1;0;237;1
phy1;1558497c7288;txs;88:a9:b7:ee:ab:61;1;1;1;237;1
phy1;1558497cd1b9;txs;88:a9:b7:ee:ab:61;1;1;1;237;1
phy1;155849b66b47;txs;88:a9:b7:ee:ab:61;1;1;1;277;1
phy1;155849fb311e;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584a4d4be8;txs;88:a9:b7:ee:ab:61;1;1;1;279,276;2,1
phy1;15584a66f5ea;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584aa330f6;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584b237cac;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584b5a8b20;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584b5ac36b;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584b92909c;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584b943b2d;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584bcc40a3;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584c17d987;txs;88:a9:b7:ee:ab:61;1;1;1;277;1
phy1;15584c58d0d3;txs;88:a9:b7:ee:ab:61;1;1;1;238;1
phy1;15584c594bea;txs;88:a9:b7:ee:ab:61;1;1;1;238;1
phy1;15584c9062bb;txs;88:a9:b7:ee:ab:61;1;1;1;238;1
phy1;15584cd3d33c;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584d161ec6;txs;88:a9:b7:ee:ab:61;1;1;0;279,276;2,1
phy1;15584d1931d8;txs;88:a9:b7:ee:ab:61;1;1;1;279,276;2,1
phy1;15584d1990b3;txs;88:a9:b7:ee:ab:61;1;1;1;279,276;2,1
phy1;15584d730d13;txs;88:a9:b7:ee:ab:61;1;1;0;239,236;2,1
phy1;15584d738d09;txs;88:a9:b7:ee:ab:61;1;1;0;239,236;2,1
phy1;15584d76a228;txs;88:a9:b7:ee:ab:61;1;1;1;239,236;2,1
phy1;15584daa25ff;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584defa8c3;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584e28d239;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584e294e59;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584e4f0035;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584e964a70;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584ecf2d27;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584ecf7e5c;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584ecf9d07;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;15584f09977b;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1558504755c0;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155851333fd2;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1558516a1186;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155852cfb37e;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155853bd70ca;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155853f89fdc;txs;88:a9:b7:ee:ab:61;1;1;1;236;1
phy1;155853f91ec9;txs;88:a9:b7:ee:ab:61;1;1;1;236;1
phy1;1558542fc0de;txs;88:a9:b7:ee:ab:61;1;1;1;277;1
phy1;155854c2b400;txs;88:a9:b7:ee:ab:61;1;1;1;278,276;2,1
phy1;155854f467c3;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;155854f4a3c1;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1558552d065c;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
phy1;1558554eed8e;txs;88:a9:b7:ee:ab:61;1;1;0;276;1
